"occupation","occ_label","YEAR","agg_tot_emp","a_median_wtavg","CPI","a_median_wtavg_real"
3,"Therapists",2014,609870,72300,236.736,95801.7145681265
4,"Fitness & Recreation Workers",2014,562110,25800,236.736,34186.5039537713
5,"Software Developers",2014,1492040,91320,236.736,121004.323296837
6,"Teachers",2014,3039580,55013.8792201554,236.736,72896.5968787651
0,"Dietitians & Nutritionists",2015,59740,57910,237.017,76643.1521367666
1,"Registered Nurses",2015,2745910,67490,237.017,89322.1608998511
2,"Pharmacists",2015,295620,121500,237.017,160803.712391938
3,"Therapists",2015,628440,73900,237.017,97805.7147799525
4,"Fitness & Recreation Workers",2015,573920,26550,237.017,35138.5890041643
5,"Software Developers",2015,1554960,94080,237.017,124513.689397807
6,"Teachers",2015,3067530,55847.7124918094,237.017,73913.7407183586
0,"Dietitians & Nutritionists",2016,61430,58920,240.007,77008.4034215669
1,"Registered Nurses",2016,2857180,68450,240.007,89464.1075051978
2,"Pharmacists",2016,305510,122230,240.007,159754.534117755
3,"Therapists",2016,651500,75020,240.007,98051.0934264417
4,"Fitness & Recreation Workers",2016,594280,27570,240.007,36033.9728841242
5,"Software Developers",2016,1604570,95830,240.007,125249.750507277
6,"Teachers",2016,3115050,56753.8251392434,240.007,74177.2142233523
0,"Dietitians & Nutritionists",2017,62980,59410,245.12,76029.1428280026
1,"Registered Nurses",2017,2906840,70000,245.12,89581.5518929504
2,"Pharmacists",2017,309330,124170,245.12,158904.875693538
3,"Therapists",2017,676140,76530,245.12,97938.230948107
4,"Fitness & Recreation Workers",2017,632430,28550,245.12,36536.4758077676
5,"Software Developers",2017,1617400,97770,245.12,125119.833265339
6,"Teachers",2017,3149580,57975.0950285435,245.12,74192.8426256886
0,"Dietitians & Nutritionists",2018,64670,60370,251.107,75415.6790929763
1,"Registered Nurses",2018,2951960,71730,251.107,89606.868665549
2,"Pharmacists",2018,309550,126120,251.107,157552.185641977
3,"Therapists",2018,687790,77450,251.107,96752.4324292035
4,"Fitness & Recreation Workers",2018,662040,29420,251.107,36752.1828543211
5,"Software Developers",2018,1666270,99920,251.107,124822.505465797
6,"Teachers",2018,3161920,59053.4361400668,251.107,73770.995349956
0,"Dietitians & Nutritionists",2019,67670,61270,255.657,75177.7773735904
1,"Registered Nurses",2019,2982280,73300,255.657,89938.4867224445
2,"Pharmacists",2019,311200,128090,255.657,157165.358312113
3,"Therapists",2019,709730,78790,255.657,96674.670789378
4,"Fitness & Recreation Workers",2019,684240,30490,255.657,37410.9748999636
5,"Software Developers",2019,1754750,102330,255.657,125558.053837759
6,"Teachers",2019,3175050,60365.9374812995,255.657,74068.5002271456
0,"Dietitians & Nutritionists",2020,66330,63090,258.811,76467.5342624541
1,"Registered Nurses",2020,2986500,75330,258.811,91302.8904103767
2,"Pharmacists",2020,315470,128710,258.811,156001.526944373
3,"Therapists",2020,684330,79970,258.811,96926.7509108964
4,"Fitness & Recreation Workers",2020,573720,31250,258.811,37876.2156554397
5,"Software Developers",2020,1811160,105310,258.811,127639.816661579
6,"Teachers",2020,3040590,61585.7116875343,258.811,74644.278309465
0,"Dietitians & Nutritionists",2021,66690,61650,270.97,71369.2543454995
1,"Registered Nurses",2021,3047530,77600,270.97,89833.8059563789
2,"Pharmacists",2021,312550,128570,270.97,148839.33546149
3,"Therapists",2021,687440,78670,270.97,91072.493744695
4,"Fitness & Recreation Workers",2021,485620,30930,270.97,35806.1806473041
5,"Software Developers",2021,1874100,102930,270.97,119157.13462745
6,"Teachers",2021,3037720,61546.3600331828,270.97,71249.2753162678
0,"Dietitians & Nutritionists",2022,69880,66450,292.655,71225.9624814201
1,"Registered Nurses",2022,3072700,81220,292.655,87057.5270540398
2,"Pharmacists",2022,325480,132750,292.655,142291.144009158
3,"Therapists",2022,712330,83960,292.655,89994.4591413098
4,"Fitness & Recreation Workers",2022,520920,35170,292.655,37697.7742734619
5,"Software Developers",2022,2049920,114190,292.655,122397.180673489
6,"Teachers",2022,3146800,61956.3038960214,292.655,66409.2908470351
0,"Dietitians & Nutritionists",2023,73860,69680,304.702,71735.1691816923
1,"Registered Nurses",2023,3175390,86070,304.702,88608.5822541368
2,"Pharmacists",2023,331700,136030,304.702,140042.122040551
3,"Therapists",2023,744240,90400,304.702,93066.2929682116
4,"Fitness & Recreation Workers",2023,561200,37000,304.702,38091.2924759273
5,"Software Developers",2023,2176710,127120,304.702,130869.327014591
6,"Teachers",2023,3184200,64347.7363859054,304.702,66245.633698362
0,"Dietitians & Nutritionists",2024,76570,73850,313.689,73850
1,"Registered Nurses",2024,3282010,93600,313.689,93600
2,"Pharmacists",2024,328870,137480,313.689,137480
3,"Therapists",2024,777300,95010,313.689,95010
4,"Fitness & Recreation Workers",2024,613260,37420,313.689,37420
5,"Software Developers",2024,2154370,129320,313.689,129320
6,"Teachers",2024,3204870,63245.518445366,313.689,63245.518445366
